symbol,date,price
GDP,Nov 2004,125.622
GDP,Dec 2004,125.622
GDP,Jan 2005,128.137
GDP,Feb 2005,128.137
GDP,Mar 2005,128.137
GDP,Apr 2005,129.741
GDP,May 2005,129.741
GDP,Jun 2005,129.741
GDP,Jul 2005,132.054
GDP,Aug 2005,132.054
GDP,Sep 2005,132.054
GDP,Oct 2005,133.816
GDP,Nov 2005,133.816
GDP,Dec 2005,133.816
GDP,Jan 2006,136.489
GDP,Feb 2006,136.489
GDP,Mar 2006,136.489
GDP,Apr 2006,137.998
GDP,May 2006,137.998
GDP,Jun 2006,137.998
GDP,Jul 2006,139.085
GDP,Aug 2006,139.085
GDP,Sep 2006,139.085
GDP,Oct 2006,140.664
GDP,Nov 2006,140.664
GDP,Dec 2006,140.664
GDP,Jan 2007,142.332
GDP,Feb 2007,142.332
GDP,Mar 2007,142.332
GDP,Apr 2007,144.223
GDP,May 2007,144.223
GDP,Jun 2007,144.223
GDP,Jul 2007,145.697
GDP,Aug 2007,145.697
GDP,Sep 2007,145.697
GDP,Oct 2007,146.853
GDP,Nov 2007,146.853
GDP,Dec 2007,146.853
GDP,Jan 2008,146.684
GDP,Feb 2008,146.684
GDP,Mar 2008,146.684
GDP,Apr 2008,148.13
GDP,May 2008,148.13
GDP,Jun 2008,148.13
GDP,Jul 2008,148.43
GDP,Aug 2008,148.43
GDP,Sep 2008,148.43
GDP,Oct 2008,145.499
GDP,Nov 2008,145.499
GDP,Dec 2008,145.499
GDP,Jan 2009,143.839
GDP,Feb 2009,143.839
GDP,Mar 2009,143.839
GDP,Apr 2009,143.404
GDP,May 2009,143.404
GDP,Jun 2009,143.404
GDP,Jul 2009,143.841
GDP,Aug 2009,143.841
GDP,Sep 2009,143.841
GDP,Oct 2009,145.665
GDP,Nov 2009,145.665
GDP,Dec 2009,145.665
GDP,Jan 2010,146.811
GDP,Feb 2010,146.811
GDP,Mar 2010,146.811
GDP,Apr 2010,148.886
GDP,May 2010,148.886
GDP,Jun 2010,148.886
GDP,Jul 2010,150.577
GDP,Aug 2010,150.577
GDP,Sep 2010,150.577
GDP,Oct 2010,152.302
GDP,Nov 2010,152.302
GDP,Dec 2010,152.302
GDP,Jan 2011,152.384
GDP,Feb 2011,152.384
GDP,Mar 2011,152.384
GDP,Apr 2011,154.609
GDP,May 2011,154.609
GDP,Jun 2011,154.609
GDP,Jul 2011,155.871
GDP,Aug 2011,155.871
GDP,Sep 2011,155.871
GDP,Oct 2011,157.853
GDP,Nov 2011,157.853
GDP,Dec 2011,157.853
GDP,Jan 2012,159.565
GDP,Feb 2012,159.565
GDP,Mar 2012,159.565
GDP,Apr 2012,160.947
GDP,May 2012,160.947
GDP,Jun 2012,160.947
GDP,Jul 2012,162.689
GDP,Aug 2012,162.689
GDP,Sep 2012,162.689
GDP,Oct 2012,163.325
GDP,Nov 2012,163.325
GDP,Dec 2012,163.325
GDP,Jan 2013,165.024
GDP,Feb 2013,165.024
GDP,Mar 2013,165.024
GDP,Apr 2013,166.192
GDP,May 2013,166.192
GDP,Jun 2013,166.192
GDP,Jul 2013,168.723
GDP,Aug 2013,168.723
GDP,Sep 2013,168.723
GDP,Oct 2013,170.783
GDP,Nov 2013,170.783
GDP,Dec 2013,170.783
GDP,Jan 2014,170.44
GDP,Feb 2014,170.44
GDP,Mar 2014,170.44
GDP,Apr 2014,173.282
GDP,May 2014,173.282
GDP,Jun 2014,173.282
GDP,Jul 2014,175.354
GDP,Aug 2014,175.354
GDP,Sep 2014,175.354
USDollar Index,Nov 2004,81.81
USDollar Index,Dec 2004,80.79
USDollar Index,Jan 2005,83.59
USDollar Index,Feb 2005,82.53
USDollar Index,Mar 2005,84.06
USDollar Index,Apr 2005,84.41
USDollar Index,May 2005,87.78
USDollar Index,Jun 2005,89.07
USDollar Index,Jul 2005,89.35
USDollar Index,Aug 2005,87.51
USDollar Index,Sep 2005,89.43
USDollar Index,Oct 2005,90.08
USDollar Index,Nov 2005,91.55
USDollar Index,Dec 2005,91.17
USDollar Index,Jan 2006,88.95
USDollar Index,Feb 2006,90.1
USDollar Index,Mar 2006,89.71
USDollar Index,Apr 2006,85.99
USDollar Index,May 2006,84.68
USDollar Index,Jun 2006,85.16
USDollar Index,Jul 2006,85.27
USDollar Index,Aug 2006,85.04
USDollar Index,Sep 2006,86.03
USDollar Index,Oct 2006,85.31
USDollar Index,Nov 2006,82.81
USDollar Index,Dec 2006,83.68
USDollar Index,Jan 2007,84.62
USDollar Index,Feb 2007,83.61
USDollar Index,Mar 2007,82.94
USDollar Index,Apr 2007,81.37
USDollar Index,May 2007,82.29
USDollar Index,Jun 2007,81.95
USDollar Index,Jul 2007,80.81
USDollar Index,Aug 2007,80.81
USDollar Index,Sep 2007,77.74
USDollar Index,Oct 2007,76.54
USDollar Index,Nov 2007,76.14
USDollar Index,Dec 2007,76.64
USDollar Index,Jan 2008,75.17
USDollar Index,Feb 2008,73.7
USDollar Index,Mar 2008,71.75
USDollar Index,Apr 2008,72.62
USDollar Index,May 2008,72.88
USDollar Index,Jun 2008,72.52
USDollar Index,Jul 2008,73.23
USDollar Index,Aug 2008,77.3
USDollar Index,Sep 2008,79.49
USDollar Index,Oct 2008,85.77
USDollar Index,Nov 2008,86.54
USDollar Index,Dec 2008,81.25
