name,AQI,PM2.5,PM10,NO2,SO2,group
PanZhiHua,50,25,51,29,30,1
LuZhou,79.87,58,85,30,13,1
ZiGong,99.48,73,107,22,23,1
YanTai,68.23,38,67,37,16,2
JiaoZhou,75.9,42,76,45,19,2
ShouGuang,93.65,66,112,35,44,2
BinZhou,114.1,83,134,46,46,2
HeZe,146.61,111,176,54,47,2
LianYunGang,69.71,38,85,32,23,3
LiYang,78.9,41,75,51,49,3
ZhangJiaGang,98.58,62,134,48,33,3
DaLian,74,49,82,35,12,4
PanJin,96.39,67,102,32,20,4
ShenYang,140.94,112,168,55,40,4
BaoJi,101.94,67,123,39,9,5
YanAn,93,49,129,50,15,5
LinAn,115.68,56,98,22,9,6
ZhouShan,69.61,24,51,15,7,6
FuYang,89.26,63,109,38,18,6
NingBo,95.87,39,71,41,25,6
ZhanJiang,77.81,47,78,18,16,7
QingYuan,89.06,60,88,40,35,7
GuangZhou,97.42,59,86,49,18,7
ChaoZhou,109.35,60,81,15,15,7
QinHuangDao,109.19,73,127,62,49,8
DeCheng,114.71,77,158,44,31,8
LangFang,170.55,132,196,60,28,8
ShiJiaZhuang,187.71,146,237,53,40,8
TaiYuan,132.74,95,177,39,57,9
DaTong,63.35,33,75,25,16,9
ChangZhi,108.1,80,112,45,29,9
LinFen,91.48,66,106,44,48,9
QuanZhou,54.68,30,57,18,8,10
FuZhou,81.03,32,66,23,7,10
HaiKou,59.52,35,58,17,7,11
SanYa,60.68,27,49,13,3,11
SanMenXia,95.16,64,116,39,36,12
JiaoZuo,98.58,67,109,48,51,12
YuXi,50.77,31,51,14,18,13
LaSa,59.94,23,55,28,9,14
EErDuoSi,64.45,32,73,30,20,15
HuHeHaoTe,97.87,51,142,51,34,15
BaoTou,110.1,60,162,54,40,15
DanDong,64.45,39,74,31,23,16
KeLaMaYi,67.19,28,66,47,7,17
WuLuMuQi,98.48,56,145,58,25,17
KuErLe,143.26,66,221,40,10,17
QiQiHaEr,67.48,44,64,21,24,18
HaErBin,88.9,64,103,52,16,18
MuDanJiang,93.97,65,112,35,20,18
NanChang,104.71,77,109,38,28,19
JiuJiang,82.39,51,108,32,42,19
BeiHai,84.84,49,82,15,13,20
GuiLin,119.42,85,112,28,34,20
LiuZhou,128.9,96,141,35,42,20
JinChang,70.94,31,86,19,36,21
LanZhou,75.9,51,94,36,20,21
JiaYuGuan,77.48,29,104,31,24,21
WuHu,73.48,53,71,31,17,22
MaAnShan,87.42,61,108,42,28,22
HeFei,104.71,76,132,29,17,22
ShenZhen,73.61,46,77,33,10,23
FoShan,106.61,65,91,50,30,23
XiNing,74.32,51,91,35,24,24
GuiYang,75.94,54,83,30,12,25
ZunYi,91,67,103,34,16,25
YinChuan,77.13,47,102,44,27,26
ShiZuiShan,94.06,52,136,38,46,26
ShangHai,79.81,40,70,42,16,27
ChongQing,96.55,71,105,44,18,28
ChangSha,130.23,99,129,45,25,29
ChangDe,95.29,70,108,21,23,29
XiangTan,120.9,91,142,57,37,29
JingZhou,121.61,92,157,48,48,30
WuHan,130.06,92,144,61,30,30
YiChang,117.61,88,140,35,37,30
KaiFeng,125.06,91,142,42,30,31
AnYang,105.61,74,127,48,49,31
PingDingShan,119.1,87,136,54,62,31
TianJin,135.65,100,150,53,19,32
BeiJing,157.42,120,157,70,9,33
ChangChun,179.03,141,208,57,23,34
JiLin,148.97,116,166,47,21,34
