时间,平安银行,东阿阿胶,方大集团,江铃汽车,华数传媒,美的集团,深圳机场,天健集团,中集集团,中金岭南
20110109,9595,1609,332,832,93,812,1101,0,999,986
20110116,10255,1336,289,768,70,753,1188,0,1036,1014
20110123,10450,1248,296,778,60,594,1133,0,1120,917
20110130,5242,807,210,546,62,378,911,0,715,481
20110206,6929,1108,282,895,67,454,1039,0,988,739
20110213,9214,1379,449,1060,68,493,1207,0,1469,1048
20110220,10355,1368,411,1021,69,538,1107,0,1383,1087
20110227,10910,1476,508,1077,65,777,1108,0,1396,1034
20110306,9972,1791,605,1042,62,880,1116,0,1361,1090
20110313,9720,1633,625,1013,65,982,1112,0,1193,1103
20110320,9955,1751,603,1053,62,971,1122,0,1399,1141
20110327,10414,1706,550,1035,70,999,1132,8,1480,1409
20110403,9035,1403,390,933,53,910,1057,34,1240,1173
20110410,10147,1821,455,956,54,946,1130,34,1661,1408
20110417,10538,1694,626,981,65,947,1125,26,1649,1335
20110424,10873,1377,631,973,43,915,1120,43,1265,1141
20110501,9969,1463,473,984,64,949,1122,44,1168,1138
20110508,10542,1404,572,1026,56,1020,1169,34,1206,1223
20110515,11611,1359,810,1039,45,1001,1217,48,1179,1083
20110522,11454,1273,593,992,43,970,1158,34,1153,1022
20110529,10934,1183,483,981,56,891,1108,16,1182,1081
20110605,9875,1178,393,930,24,891,1134,25,1063,883
20110612,10602,1451,431,953,26,965,1220,35,1118,948
20110619,11365,1322,445,991,42,899,1256,16,1228,917
20110626,11155,1490,450,998,26,860,1257,25,1342,970
20110703,11523,1394,536,1181,53,935,1181,33,1326,1178
20110710,10974,1417,555,1073,53,894,1386,26,1246,1116
20110717,11705,1408,573,1021,42,881,1252,35,1471,2823
20110724,11180,1296,524,996,16,874,1279,25,1328,1105
20110731,11263,1296,516,989,54,901,1200,26,1219,978
20110807,10960,1476,590,1011,43,782,1354,26,1356,1236
20110814,11700,1646,664,994,29,828,1164,25,1252,1040
20110821,11652,1467,746,990,65,775,1111,25,1252,1048
20110828,12694,1340,657,994,46,713,1104,26,1252,1079
20110904,13281,1362,570,1035,63,775,1089,16,1168,946
20110911,10768,1252,522,1034,52,851,1025,25,1104,849
20110918,11739,1316,502,1093,35,960,1091,26,1314,882
20110925,13421,1320,482,1066,46,840,1637,44,1165,817
20111002,9311,1198,238,921,65,845,1016,43,769,281
20111009,13623,1448,527,1137,65,1120,1161,246,1611,868
20111016,13126,1452,602,1124,73,1104,1101,228,1388,800
20111023,13115,1665,677,1091,67,1032,1128,177,1605,1003
20111030,13232,1771,805,1069,73,834,1152,212,1394,1000
20111106,14082,1631,663,1027,81,807,1129,214,1292,855
20111113,14033,1693,569,1072,73,815,1164,319,1237,810
20111120,13872,1714,493,1028,55,773,1136,240,1281,689
20111127,13921,1855,450,982,58,517,1144,258,1324,749
20111204,13774,1756,427,989,56,444,1191,212,1144,595
20111211,14297,1690,410,1011,60,515,1140,222,1186,650
20111218,15666,1640,396,953,55,458,1137,224,1158,625
20111225,15241,1649,362,881,42,401,1117,241,1118,613
20120101,13867,1615,314,820,56,367,1141,204,890,447
20120108,16270,1634,373,817,60,367,1256,213,1137,824
20120115,17166,1564,323,720,54,292,1505,208,1058,952
20120122,5934,1030,179,571,33,233,955,159,504,237
20120129,14088,1558,696,1074,65,407,1203,226,1267,905
20120205,14561,1522,815,1132,53,417,1208,240,1300,1037
20120212,15274,1536,624,1159,48,462,1226,351,1351,1082
20120219,16018,1613,634,1170,64,461,1259,404,1429,1102
20120226,15492,1793,693,1186,53,458,1253,358,1427,1287
20120304,14640,1819,733,1171,52,486,1229,395,1430,1667
20120311,15119,1746,1160,1203,51,496,1245,341,1375,1062
20120318,15880,1688,947,1186,37,449,1510,320,1350,1003
20120325,16106,1828,584,1126,54,504,1304,352,1255,878
20120401,13742,1464,559,1064,55,412,1186,300,930,530
20120408,15426,2603,654,1059,55,446,1316,319,1422,783
20120415,16013,3344,618,1072,53,423,1782,316,1269,800
20120422,17334,2282,532,1032,62,466,1548,315,1292,762
20120429,14151,1810,373,957,58,398,1248,266,1015,775
20120506,15882,1887,472,1015,45,478,1666,444,1258,913
20120513,16064,1704,433,1016,35,453,1352,390,1210,703
20120520,16054,1639,646,1003,65,443,1211,325,1162,713
20120527,15398,1621,467,1038,66,468,1220,251,1154,751
