date,team,points,opp,oppPoints,win,count
20131029,Heat,107,Bulls,95,1,2
20131029,Pacers,97,Magic,87,1,2
20131030,Kings,90,Nuggets,88,1,9
20131030,Knicks,90,Bucks,83,1,9
20131030,Mavericks,118,Hawks,109,1,9
20131030,Pistons,113,Wizards,102,1,9
20131030,Raptors,93,Celtics,87,1,9
20131030,Rockets,96,Hornets,83,1,9
20131030,Spurs,101,Grizzlies,94,1,9
20131030,Timberwolves,120,Magic,115,1,9
20131030,Warriors,125,Lakers,94,1,9
20131031,Bulls,82,Knicks,81,1,2
20131031,Clippers,126,Warriors,115,1,2
20131101,Celtics,98,Bucks,105,0,8
20131101,Grizzlies,111,Pistons,108,1,8
20131101,Hawks,102,Raptors,95,1,8
20131101,Nuggets,98,Trailblazers,113,0,8
20131101,Rockets,113,Mavericks,105,1,8
20131101,Suns,87,Jazz,84,1,8
20131101,Timberwolves,100,Thunder,81,1,8
20131101,Wizards,102,Seventysixers,109,0,8
20131102,Mavericks,111,Grizzlies,99,1,4
20131102,Pacers,89,Cavaliers,74,1,4
20131102,Pelicans,105,Hornets,84,1,4
20131102,Warriors,98,Kings,87,1,4
20131103,Heat,103,Wizards,93,1,4
20131103,Knicks,100,Timberwolves,109,0,4
20131103,Pistons,87,Celtics,77,1,4
20131103,Thunder,103,Suns,96,1,4
20131104,Cavaliers,93,Timberwolves,92,1,3
20131104,Clippers,137,Rockets,118,1,3
20131104,Grizzlies,95,Celtics,88,1,3
20131105,Kings,100,Hawks,105,0,6
20131105,Knicks,97,Hornets,102,0,6
20131105,Mavericks,123,Lakers,104,1,6
20131105,Nets,104,Jazz,88,1,6
20131105,Pelicans,98,Suns,104,0,6
20131105,Trailblazers,101,Rockets,116,0,6
20131106,Celtics,97,Jazz,87,1,5
20131106,Grizzlies,84,Pelicans,99,0,5
20131106,Pacers,97,Bulls,80,1,5
20131106,Spurs,99,Suns,96,1,5
20131106,Thunder,107,Mavericks,93,1,5
20131107,Heat,102,Clippers,97,1,3
20131107,Nuggets,109,Hawks,107,1,3
20131107,Rockets,98,Lakers,99,0,3
20131108,Bulls,97,Jazz,73,1,8
20131108,Magic,89,Celtics,91,0,8
20131108,Pacers,91,Raptors,84,1,8
20131108,Pelicans,96,Lakers,85,1,8
20131108,Spurs,76,Warriors,74,1,8
20131108,Suns,114,Nuggets,103,1,8
20131108,Timberwolves,116,Mavericks,108,1,8
20131108,Trailblazers,104,Kings,91,1,8
20131109,Cavaliers,127,Seventysixers,125,1,8
20131109,Grizzlies,108,Warriors,90,1,8
20131109,Hawks,104,Magic,94,1,8
20131109,Heat,110,Celtics,111,0,8
20131109,Kings,85,Trailblazers,96,0,8
20131109,Nets,91,Pacers,96,0,8
20131109,Raptors,115,Jazz,91,1,8
20131109,Rockets,94,Clippers,107,0,8
20131110,Thunder,106,Wizards,105,1,1
20131111,Bulls,96,Cavaliers,81,1,6
20131111,Celtics,120,Magic,105,1,6
20131111,Clippers,109,Timberwolves,107,1,6
20131111,Pacers,95,Grizzlies,79,1,6
20131111,Rockets,110,Raptors,104,1,6
20131111,Trailblazers,109,Pistons,103,1,6
20131112,Heat,118,Bucks,95,1,3
20131112,Mavericks,105,Wizards,95,1,3
20131112,Warriors,113,Pistons,95,1,3
20131113,Celtics,83,Hornets,89,0,9
20131113,Clippers,111,Thunder,103,1,9
20131113,Grizzlies,87,Raptors,103,0,9
20131113,Hawks,91,Knicks,95,0,9
20131113,Magic,94,Bucks,91,1,9
20131113,Nuggets,111,Lakers,99,1,9
20131113,Spurs,92,Wizards,79,1,9
20131113,Timberwolves,124,Cavaliers,95,1,9
20131113,Trailblazers,90,Suns,89,1,9
20131114,Warriors,116,Thunder,115,1,1
20131115,Cavaliers,80,Hornets,86,0,6
20131115,Hawks,113,Seventysixers,103,1,6
20131115,Heat,110,Mavericks,104,1,6
20131115,Kings,90,Pistons,97,0,6
20131115,Pacers,104,Bucks,77,1,6
20131115,Raptors,80,Bulls,96,0,6
20131116,Clippers,110,Nets,103,1,7
20131116,Knicks,90,Hawks,110,0,7
20131116,Pelicans,135,Seventysixers,98,1,7
20131116,Rockets,122,Nuggets,111,1,7
20131116,Timberwolves,106,Celtics,88,1,7
20131116,Warriors,102,Jazz,88,1,7
20131116,Wizards,96,Cavaliers,103,0,7
20131117,Raptors,110,Trailblazers,118,0,1
20131118,Bulls,86,Hornets,81,1,5
20131118,Clippers,102,Grizzlies,106,0,5
20131118,Mavericks,97,Seventysixers,94,1,5
20131118,Nets,98,Trailblazers,108,0,5
20131118,Thunder,115,Nuggets,113,1,5
20131119,Heat,104,Hawks,88,1,4
20131119,Kings,107,Suns,104,1,4
20131119,Pistons,92,Knicks,86,1,4
20131119,Rockets,109,Celtics,85,1,4
20131120,Cavaliers,91,Wizards,98,0,8
20131120,Hawks,93,Pistons,85,1,8
20131120,Mavericks,123,Rockets,120,1,8
20131120,Pelicans,105,Jazz,98,1,8
20131120,Spurs,104,Celtics,93,1,8
20131120,Suns,106,Kings,113,0,8
20131120,Timberwolves,98,Clippers,102,0,8
20131120,Warriors,81,Grizzlies,88,0,8
20131121,Thunder,105,Clippers,91,1,1
20131122,Hornets,91,Suns,98,0,8
20131122,Mavericks,103,Jazz,93,1,8
20131122,Pelicans,104,Cavaliers,100,1,8
20131122,Pistons,89,Hawks,96,0,8
20131122,Raptors,96,Wizards,88,1,8
20131122,Seventysixers,115,Bucks,107,1,8
20131122,Timberwolves,111,Nets,81,1,8
20131122,Trailblazers,98,Bulls,95,1,8
20131123,Bucks,72,Hornets,96,0,10
20131123,Clippers,103,Kings,102,1,10
20131123,Hawks,87,Celtics,94,0,10
20131123,Heat,101,Magic,99,1,10
20131123,Nuggets,102,Mavericks,100,1,10
20131123,Pacers,106,Seventysixers,98,1,10
20131123,Rockets,112,Timberwolves,101,1,10
20131123,Spurs,126,Cavaliers,96,1,10
20131123,Warriors,101,Trailblazers,113,0,10
20131123,Wizards,98,Knicks,89,1,10
20131124,Clippers,121,Bulls,82,1,5
20131124,Lakers,100,Kings,86,1,5
20131124,Magic,96,Suns,104,0,5
20131124,Nets,97,Pistons,109,0,5
20131124,Thunder,95,Jazz,73,1,5
20131125,Hornets,86,Celtics,96,0,7
20131125,Heat,107,Suns,92,1,7
20131125,Mavericks,96,Nuggets,110,0,7
20131125,Pacers,98,Timberwolves,84,1,7
20131125,Pistons,113,Bucks,94,1,7
