name,Fruit,Milk,Meat,Vegetable,Aquatic-product
xinji,531385,77350,55000,721543,152
gaocheng,182001,74207,84094,2687020,76
jinzhou,415884,50740,19300,400645,44
xinle,30000,51459,81194,799241,20
luquan,43815,26916,59283,856702,6020
zunhua,237498,71573,50861,699835,3220
qianan,143896,77439,92781,828645,590
wuan,21297,59909,3740,71675,955
nangong,25980,21160,1200,243134,282
shahe,7326,18034,5600,69191,270
zhuozhou,29995,38146,23337,515807,1200
dingzhou,119800,90748,147370,2143658,122
anguo,35145,21570,11783,176380,0
gaobeidian,12102,31313,16355,344636,215
botou,535271,31051,904,76974,673
renqiu,25167,37175,7024,391091,14500
huanghua,54670,29524,4702,80363,79586
hejian,32588,27806,392,389357,589
bazhou,38605,24626,5907,530351,6450
sanhe,114170,77147,61948,785075,11250
jizhou,85470,12643,2586,184824,1706
shenzhou,324895,49920,4421,212130,210
gujiao,363,1548.3,110,35456,70
lucheng,2575,4058.8,1287.1,65706,150
gaoping,24373,46528,809,46526,81
jiexiu,2923.1,15288,5688,12515.3,52
yongji,79769.7,5466,5108,49643,8100
hejin,26480,9030,2010,59445,125
yuanping,37843,16198,5037,44360,460
houma,5239,2487,1107,105381,352
huozhou,9498.5,3934.1,1298.5,59733.5,40
xiaoyi,4786,22655.3,3325.8,19189.9,96
fenyang,8296.7,18059.9,9344.5,18021.2,65
huolinguole,220,6235,4500,4144,150
manzhouli,170,2814,3600,42140,12520
yakeshi,0,21328,165800,82616,200
zhalantun,12800,45595,203411,62930,900
eerguna,70,4814,116964,484,520
genhe,0,2377,2172,4119,0
fengzhen,1908,23465,118589,248267,140
wulanhaote,842,6370,126502,93891,1
aershan,0,2124,806,5421,9
erlianhaote,0,1449,2150,5760,0
xilinhaote,0,15536,90120,40130,50
xinmin,17710,143657,93404,1726936,55182
wafangdian,613305,157182,12862,665212,230060
pulandian,381635,183605,22988,717773,176606
zhuanghe,280686,161746,1819,457978,504286
haicheng,185704,115525,7856,937073,21905
donggang,111798,68542,10070,453565,430495
fengcheng,10893,77991,3237,190257,22608
linghai,47464,139084,30418,655115,179820
beizhen,231227,117653,3414,853336,12594
gaizhou,438011,53843,2144,340961,206000
dashiqiao,43520,84943,6486,423477,81500
dengta,22330,65679,6353,260230,51644
diaobingshan,4665,22867,11860,96961,572
kaiyuan,99772,199035,15491,634990,6372
beipiao,21507,121240,12884,592603,600
lingyuan,14083,85949,14754,835750,700
xingcheng,71990,33793,10809,106940,205050
jiutai,13470,151548.7,13143.7,378398,4760
yushu,14645,364323.7,29804.3,418761,4608
dehui,23145,375618.3,10559.6,686376,4580
jiaohe,47107,103126.1,1838.7,241567,6416
huadian,101744,99250.1,11226.2,318932,3627
shulan,27837,160769.5,884.6,271551,6911
panshi,52033,168290.1,509.2,432232,8426
gongzhuling,12738,299592.8,50797.9,436672,1575
shuangliao,809,131326.3,37197.1,100972,160
meihekou,5291,92623.9,2247.1,99993,5900
jian,23932,9467.3,,30700,6026
linjiang,8284,9459.6,401.1,75478,1970
daonan,342,33635.9,125916.9,32540,3012
daan,97,57255.7,17828,96962,4528
yanji,17256,6432.8,720,107214,122
tumen,2431,2793.8,276.8,26063,65
dunhua,11279,22486.6,17507.9,162442,3710
huichun,16677,6194.3,609.7,60081,1401
longjing,22389,9024.6,843,26548,330
helong,6214,8691.2,492.6,25646,170
shuangcheng,2200,87265,886964,105840,7100
shangzhi,17604,38588,33958,125611,7520
wuchang,22258,58285,53740,65094,18300
nehe,721,122694,24126,19545,8047
hulin,3090,7562,17559,6536,6000
mishan,4007,30053,41979,20370,23000
tieli,1400,44117,48889,38696,1700
tongjiang,0,8446,285,133328,4500
fujin,1680,37186,13309,200376,10410
suifenhe,82,2054,246,6620,202
hailin,2992,13796,3169,125110,2416
ningan,26021,40583,1622,188870,6955
muling,33909,27653,4329,83150,1500
beian,0,4475,75400,42269,1800
wudalianchi,18,9958,22631,26750,2537
anda,936,69547,493149,148429,11200
zhaodong,16257,206752,321007,128983,26926
hailun,3010,77376,95054,62790,6247
jiangyin,37778,51015,33924,427799,22646
yixing,18534,35746,1700,460421,77312
xinyi,42890,98802,14470,763213,48502
pizhou,70437,174837,4140,2141765,24150
liyang,11546,19792,0,261662,42025
jintan,5278,31965,905,161910,45779
changshu,11121,21319,8434,420581,39379
zhangjiagang,23516,16050,19503,165122,17604
kunshan,14392,9299,15855,129273,50097
wujiang,13146,20781,409,229927,70305
taicang,6727,68625,13159,404257,36172
qidong,16879,54058,6315,646437,329198
rugao,4590,100472,1110,345100,21355
haimen,14351,39781,6930,424239,78347
dongtai,49000,130488,4500,2770745,161765
dafeng,61000,99588,7592,2052942,146222
yizheng,7460,22180,700,205165,5692.1
gaoyou,12047,42931,1541,235917,149736.2
jiangdu,10043,36508,3830,381718,41843.8
danyang,4727,22312,1873,218416,36350
yangzhong,3650,9285,0,70250,6363
jurong,31000,14997,8929,182938,23136
xinghua,5431,46942,5238,671327,216754
jingjiang,11240,28106,2070,208332,8590
taixing,9610,73184,12112,480796,17041
jiangyan,4243,50876,4522,572749,31689
jiande,164757,28830,523,205889,12490
fuyang,119954,47264,5914,420923,9530
linan,41950,31738,4820,128772,3831
yuyao,185443,47388,1790,824903,29220
cixi,294101,21880,1300,796613,42618
fenghua,102252,21518,1406,50031,101574
ruian,74706,13207,4517,264915,105455
leqing,64817,18283,4799,133427,79515
haining,76040,47716,6550,242180,36585
pinghu,38390,30944,2128,208247,32938
tongxiang,79380,55893,255,576285,10829
zhuji,139794,46979,38,493946,15150
shangyu,225199,40301,580,767396,34479
chengzhou,112246,25840,2509,349629,3640
lanxi,100095,36962,1044,114952,17516
yiwu,83653,39467,1004,171470,3450
dongyang,64232,18508,18,119507,9515
yongkang,60684,9678,0,78184,7282
jiangshan,57129,68470,872,229663,9810
wenling,262393,29711,826,409297,489176
linhai,297435,19785,1575,262762,109963
longquan,12327,10331,93,122519,2300
tongcheng,1761,32596,0,268181,27122
tianchang,120,29500,0,163177,53500
mingguang,6586,44293,0,162383,68317
jieshou,8978,33198,90,394755,3680
ningguo,3996,52662,0,89666,4700
fuqing,51105,113214,1062,451647,302178
changle,18563,23998,7672,336879,110030
yongan,98887,23542,540,344018,8906
shishi,1037,1820,275,39925,355840
jinjiang,7106,23762,3655,215431,203669
nanan,76721,58885,3761,221493,34515
longhai,82895,41127,2165,349916,338551
shaowu,40191,18585,4401,122332,16125
wuyishan,28814,11451,72,126399,7964
jianou,282147,15945,17137,439343,14674
jianyang,80889,9665,9297,199691,7739
zhangping,49264,22618,0,246617,7507
fuan,138021,18777,306,224055,61965
fuding,13128,7003,545,141897,137189
leping,6101,32422,0,621713,19707
ruichang,6670,26124,16,87089,27363
guixi,24853,32554,22,111612,26303
ruijin,75244,41326,128,132131,18490
nankang,34931,63478,44,176299,18560
jinggangshan,3293,5799,0,34000,3338
fengcheng,3433,71369,0,497429,86019
zhangshu,5967,82068,442,145961,40389
gaoan,7075,113498,39,271250,42661
dexing,2731,10053,14,30040,7709
zhangqiu,63637,100724,60425,1698164,10600
jiaozhou,63359,52872,21861,590572,125058
jimo,23552,67299,41737,573715,292056
pingdu,320949,188709,22799,2180883,11006
jiaonan,171802,60682,13401,500841,295132
laixi,217395,171009,239805,1129695,11110
tengzhou,49916,114897,1446,2475351,15188
longkou,393675,36851,45019,232338,116130
laiyang,301130,70728,88695,638239,50000
laizhou,216215,91036,11907,225078,323750
penglai,610176,47831,7752,126911,315000
zhaoyuan,449867,40806,9426,42604,24100
qixia,1459332,19522,2425,218227,4200
haiyang,280953,36692,18757,452156,321514
qingzhou,102536,71184,29295,1256460,610
zhucheng,94836,309538,4502,943771,9920
shouguang,117895,117198,10287,3921339,190000
anqiu,122519,102980,569,1444644,5010
gaomi,83613,174216,19546,714230,4195
changyi,72753,100934,230,517505,101985
qufu,42709,77188,8665,170219,984
yanzhou,3116,92851,12495,958789,1417
zoucheng,42066,87239,18115,569814,18511
xintai,113036,133845,90860,1203858,1500
feicheng,147626,61088,54468,1897197,1900
wendeng,145994,49645,170725,256068,320268
rongcheng,132111,32789,57930,263957,1080000
rushan,356321,28810,30589,486584,281358
leling,239065,68304,5834,192239,1843
yucheng,10396,70988,29428,827430,27296
linqing,55101,20936,2925,359285,8620
gongyi,22000,22648,4974,42258,1170
xingyang,34488,41281,137245,404301,12144
xinmi,14072,18150,24647,196980,689
xinzheng,103947,42600,43120,332269,696
dengfeng,24652,22201,4421,74035,1906
yanshi,53358,37067,127859,435326,229
wugang,4369,35977,6926,101136,2110
ruzhou,26881,82859,36348,288135,2458
linzhou,69386,60068,6689,135907,1752
weihui,11763,52268,14753,227824,3027
huixian,20314,83456,15650,379839,443
qinyang,32637,23161,22538,388708,670
mengzhou,170294,18874,45333,298662,1070
yuzhou,15427,73375,24840,222198,1400
changge,3065,58900,10297,280452,1300
yima,630,2070,338,25590,60
lingbao,964600,20069,6999,464339,2350
dengzhou,44494,134352,16313,1991714,6200
yongcheng,265765,82500,4472,1203108,13918
xiangcheng,46090,49050,1596,875191,4700
jiyuan,43360,40330,27930,290721,10800
daye,4466,65241,0,230850,58443
danjiangkou,221319,36293,0,146942,48439
yidu,385906,66418,15,146163,11360
dangyang,270181,93361,3090,671809,45017
zhijiang,301180,88402,0,252692,62498
laohekou,117364,60115,637,546495,33329
zaoyang,239294,156013,0,683689,40100
yicheng,18805,74171,0,260689,27953
zhongxiang,193297,110062,0,575146,110001
yingcheng,17000,54315,0,539634,50977
anlu,9042,79131,1210,220337,21353
hanchuan,11602,73218,0,594346,129980
shishou,24373,39172,0,248757,103076
honghu,1266,31433,0,225466,345121
songzi,123971,99473,0,175324,25178
macheng,3702,89824,3100,625127,21600
wuxue,46600,67544,3600,279414,44587
chibi,12047,23347,0,344714,73007
guangshui,44148,57098,92,687480,25258
enshi,13354,77797,394,412813,453
lichuan,36526,65516,184,518361,2146
xiantao,27318,94242,0,309792,258181
qianjiang,23889,91504,0,554475,86292
tianmen,13353,94044,261,406335,103609
liuyang,132890,163564,820,930811,21411
liling,58751,96130,55,505462,19635
xiangxiang,11240,145285,150,648554,28015
shaoshan,1567,19987,17,34004,2670
leiyang,76657,124683,171,567835,27335
changning,60854,109153,448,229299,24418
wugang,26886,116279,272,188787,7657
miluo,124576,112358,0,272175,34099
linxiang,64012,51801,0,200430,28588
jin,24491,32336,798,116298,14319
yuanjiang,136621,57689,,281103,104035
zixing,112428,44879,120,242627,25525
hongjiang,127282,30277,120,103492,5870
lingshuijiang,12789,23672,505,42035,3065
lianyuan,25022,83024,220,268312,12785
jishou,116208,7212,630,101284,2355
zengcheng,79607,79618,10167,957533,40690
conghua,70465,34855,6380,314667,8791
lechang,94605,21134,4,224394,3891
nanxiong,15047,33682,17,130159,13212
taishan,27561,38175,0,240278,367602
kaiping,24450,66346,0,247592,33757
heshan,8254,48101,35,230261,35132
enping,47718,25363,0,89763,27976
lianjiang,266684,124139,0,652881,144182
leizhou,481947,50234,259,496246,137101
wuchuan,65757,44114,55,88379,61824
gaozhou,957567,150683,4,531019,53062
huazhou,391687,129822,0,419169,89332
xinyi,578881,146835,300,293914,23536
gaoyao,152282,76731,0,723395,146260
sihui,204863,108655,0,193037,81838
xingning,95762,55996,1872,396000,13647
lufeng,69965,53296,0,335231,207242
yangchun,366355,89983,0,366370,33818
yingde,106934,31378,13087,457587,21860
lianzhou,44981,35430,0,415534,6150
puning,198030,43798,2420,367965,10025
luoding,58779,39899,5,65677,40517
cenxi,84379,72648,136,361458,14051
dongxing,9518,6170,183,37401,97213
guiping,64579,107066,144,452936,52524
beiliu,159700,82134,3056,467536,24623
yizhou,58000,25357,0,312137,12219
heshan,2190,5030,26,41575,1655
pingxiang,8257,5143,0,29743,2137
wuzhishan,17597,3938,0,14724,1525
qionghai,217678,67071,2,441345,73787
danzhou,68196,86124,0,374086,341597
wenchang,102429,71226,0,390521,185298
wanning,116385,42671,0,192232,53653
dongfang,367811,19841,0,160446,33209
dujiangyan,11889,65035,2348,159108,2600
pengzhou,15404,90191,10071,912386,5000
qionglai,54694,140690,7023,242587,9493
chongzhou,21005,105109,11425,270442,13500
guanghan,22000,74655,2100,516861,11728
shifang,6539,36571,220,300050,4120
