Champion,Primary,Popularity,WinRatio,KDARatio,KDRatio,AvgKills,AvgDeaths,AvgAssists
Aatrox,Fighter,0.0212 ,0.5472 ,2.368,1.006,6.491,6.453,8.792
Ahri,Mage,0.1302 ,0.5031 ,2.605,1.257,7.807,6.209,8.368
Akali,Assassin,0.0791 ,0.5303 ,2.459,1.506,10.242,6.803,6.485
Alistar,Tank,0.0659 ,0.4667 ,2.694,0.349,2.03,5.818,13.642
Amumu,Tank,0.1330 ,0.5646 ,3.017,0.857,4.751,5.541,11.964
Anivia,Mage,0.0252 ,0.5238 ,3.229,1.389,7.032,5.063,9.317
Annie,Mage,0.1286 ,0.5093 ,2.293,1.02,6.984,6.848,8.714
Ashe,Marksman,0.0747 ,0.4813 ,2.393,1.056,7.209,6.829,9.134
Azir,Mage,0.0324 ,0.3951 ,1.669,0.734,5.42,7.383,6.901
Blitzcrank,Tank,0.2145 ,0.5717 ,2.575,0.422,2.659,6.307,13.585
Brand,Mage,0.0639 ,0.5375 ,2.554,1.238,7.769,6.275,8.256
Braum,Support,0.1262 ,0.4937 ,2.747,0.287,1.642,5.722,14.073
Caitlyn,Marksman,0.2537 ,0.4835 ,2.564,1.203,7.299,6.066,8.252
Cassiopeia,Mage,0.0112 ,0.4643 ,2.09,0.975,6.929,7.107,7.929
ChoGath,Tank,0.0487 ,0.5164 ,2.914,1.317,6.025,4.574,7.303
Corki,Marksman,0.1219 ,0.5836 ,3.333,1.676,8.256,4.925,8.157
Darius,Fighter,0.0903 ,0.4823 ,2.077,1.11,7.757,6.987,6.757
Diana,Fighter,0.0427 ,0.4673 ,2.315,1.205,8.607,7.14,7.925
DrMundo,Fighter,0.0332 ,0.3494 ,2.083,0.778,4.048,5.205,6.795
Draven,Marksman,0.0875 ,0.5434 ,2.402,1.307,8.516,6.516,7.132
Elise,Mage,0.0208 ,0.3077 ,1.895,0.805,5.154,6.404,6.981
Evelynn,Assassin,0.0296 ,0.4324 ,2.45,0.942,5.459,5.797,8.743
Ezreal,Marksman,0.1770 ,0.5034 ,2.997,1.415,8.084,5.713,9.041
Fiddlesticks,Mage,0.1055 ,0.5644 ,2.645,0.976,5.705,5.845,9.758
Fiora,Fighter,0.0859 ,0.5163 ,2.044,1.251,8.874,7.093,5.623
Fizz,Assassin,0.1107 ,0.5199 ,2.45,1.479,9.747,6.588,6.397
