id,Location,AQI,Grade,Pollutant,Airquality,Year_Month,Day
0,东城东四,33,I,-,优,2013-1,1
1,西城万寿西宫,31,I,-,优,2013-1,1
2,朝阳奥体中心,39,I,-,优,2013-1,1
3,海淀北京植物园,27,I,-,优,2013-1,1
4,丰台花园,50,I,-,优,2013-1,1
5,通州新城,51,II,可吸入颗粒物,良,2013-1,1
6,怀柔镇,42,I,-,优,2013-1,1
7,西直门北大街,48,I,-,优,2013-1,1
8,南三环西路,63,II,可吸入颗粒物,良,2013-1,1
9,京东北密云水库,38,I,-,优,2013-1,1
10,东城东四,35,I,-,优,2013-1,2
11,西城万寿西宫,27,I,-,优,2013-1,2
12,朝阳奥体中心,39,I,-,优,2013-1,2
13,海淀北京植物园,39,I,-,优,2013-1,2
14,丰台花园,45,I,-,优,2013-1,2
15,通州新城,47,I,-,优,2013-1,2
16,怀柔镇,40,I,-,优,2013-1,2
17,西直门北大街,52,II,二氧化氮,良,2013-1,2
18,南三环西路,53,II,二氧化氮,良,2013-1,2
19,京东北密云水库,35,I,-,优,2013-1,2
20,东城东四,43,I,-,优,2013-1,3
21,西城万寿西宫,69,II,细颗粒物,良,2013-1,3
22,朝阳奥体中心,52,II,二氧化硫,良,2013-1,3
23,海淀北京植物园,42,I,-,优,2013-1,3
24,丰台花园,83,II,二氧化氮,良,2013-1,3
25,通州新城,51,II,可吸入颗粒物,良,2013-1,3
26,怀柔镇,43,I,-,优,2013-1,3
27,西直门北大街,72,II,二氧化氮,良,2013-1,3
28,南三环西路,82,II,细颗粒物,良,2013-1,3
29,京东北密云水库,33,I,-,优,2013-1,3
30,东城东四,109,III,细颗粒物,轻度污染,2013-1,4
31,西城万寿西宫,134,III,细颗粒物,轻度污染,2013-1,4
32,朝阳奥体中心,103,III,二氧化氮,轻度污染,2013-1,4
33,海淀北京植物园,102,III,二氧化氮,轻度污染,2013-1,4
34,丰台花园,193,IV,细颗粒物,中度污染,2013-1,4
35,通州新城,117,III,细颗粒物,轻度污染,2013-1,4
36,怀柔镇,69,II,细颗粒物,良,2013-1,4
37,西直门北大街,129,III,细颗粒物,轻度污染,2013-1,4
38,南三环西路,158,IV,细颗粒物,中度污染,2013-1,4
39,京东北密云水库,31,I,-,优,2013-1,4
40,东城东四,72,II,二氧化氮,良,2013-1,5
41,西城万寿西宫,99,II,细颗粒物,良,2013-1,5
42,朝阳奥体中心,77,II,二氧化氮,良,2013-1,5
43,海淀北京植物园,70,II,二氧化氮,良,2013-1,5
44,丰台花园,182,IV,细颗粒物,中度污染,2013-1,5
45,通州新城,74,II,二氧化氮,良,2013-1,5
46,怀柔镇,72,II,细颗粒物,良,2013-1,5
47,西直门北大街,104,III,二氧化氮,轻度污染,2013-1,5
48,南三环西路,145,III,细颗粒物,轻度污染,2013-1,5
49,京东北密云水库,34,I,-,优,2013-1,5
50,东城东四,165,IV,细颗粒物,中度污染,2013-1,6
51,西城万寿西宫,149,III,细颗粒物,轻度污染,2013-1,6
52,朝阳奥体中心,145,III,细颗粒物,轻度污染,2013-1,6
53,海淀北京植物园,118,III,细颗粒物,轻度污染,2013-1,6
54,丰台花园,201,V,细颗粒物,重度污染,2013-1,6
55,通州新城,117,III,细颗粒物,轻度污染,2013-1,6
56,怀柔镇,65,II,细颗粒物,良,2013-1,6
57,西直门北大街,165,IV,细颗粒物,中度污染,2013-1,6
58,南三环西路,170,IV,细颗粒物,中度污染,2013-1,6
59,京东北密云水库,34,I,-,优,2013-1,6
60,东城东四,186,IV,细颗粒物,中度污染,2013-1,7
61,西城万寿西宫,220,V,细颗粒物,重度污染,2013-1,7
62,朝阳奥体中心,195,IV,细颗粒物,中度污染,2013-1,7
63,海淀北京植物园,210,V,细颗粒物,重度污染,2013-1,7
64,丰台花园,283,V,细颗粒物,重度污染,2013-1,7
65,通州新城,241,V,细颗粒物,重度污染,2013-1,7
66,怀柔镇,108,III,细颗粒物,轻度污染,2013-1,7
67,西直门北大街,204,V,细颗粒物,重度污染,2013-1,7
68,南三环西路,242,V,细颗粒物,重度污染,2013-1,7
69,京东北密云水库,58,II,细颗粒物,良,2013-1,7
70,东城东四,130,III,细颗粒物,轻度污染,2013-1,8
71,西城万寿西宫,118,III,细颗粒物,轻度污染,2013-1,8
72,朝阳奥体中心,122,III,细颗粒物,轻度污染,2013-1,8
73,海淀北京植物园,83,II,细颗粒物,良,2013-1,8
74,丰台花园,112,III,细颗粒物,轻度污染,2013-1,8
75,通州新城,133,III,细颗粒物,轻度污染,2013-1,8
76,怀柔镇,68,II,细颗粒物,良,2013-1,8
77,西直门北大街,133,III,细颗粒物,轻度污染,2013-1,8
78,南三环西路,127,III,细颗粒物,轻度污染,2013-1,8
79,京东北密云水库,37,I,-,优,2013-1,8
80,东城东四,97,II,细颗粒物,良,2013-1,9
81,西城万寿西宫,103,III,细颗粒物,轻度污染,2013-1,9
82,朝阳奥体中心,98,II,二氧化氮,良,2013-1,9
83,海淀北京植物园,58,II,二氧化氮,良,2013-1,9
84,丰台花园,113,III,细颗粒物,轻度污染,2013-1,9
85,通州新城,120,III,细颗粒物,轻度污染,2013-1,9
86,怀柔镇,54,II,二氧化氮,良,2013-1,9
87,西直门北大街,105,III,细颗粒物,轻度污染,2013-1,9
88,南三环西路,119,III,细颗粒物,轻度污染,2013-1,9
89,京东北密云水库,33,I,-,优,2013-1,9
90,东城东四,280,V,细颗粒物,重度污染,2013-1,10
91,西城万寿西宫,302,VI,细颗粒物,重度污染,2013-1,10
92,朝阳奥体中心,256,V,细颗粒物,重度污染,2013-1,10
93,海淀北京植物园,241,V,细颗粒物,重度污染,2013-1,10
94,丰台花园,327,VI,细颗粒物,重度污染,2013-1,10
95,通州新城,373,VI,细颗粒物,重度污染,2013-1,10
96,怀柔镇,229,V,细颗粒物,重度污染,2013-1,10
97,西直门北大街,282,V,细颗粒物,重度污染,2013-1,10
98,南三环西路,334,VI,细颗粒物,重度污染,2013-1,10
99,京东北密云水库,190,IV,细颗粒物,中度污染,2013-1,10
100,东城东四,405,VI,细颗粒物,重度污染,2013-1,11
101,西城万寿西宫,422,VI,细颗粒物,重度污染,2013-1,11
102,朝阳奥体中心,386,VI,细颗粒物,重度污染,2013-1,11
103,海淀北京植物园,304,VI,细颗粒物,重度污染,2013-1,11
104,丰台花园,426,VI,细颗粒物,重度污染,2013-1,11
105,通州新城,427,VI,细颗粒物,重度污染,2013-1,11
106,怀柔镇,296,V,细颗粒物,重度污染,2013-1,11
107,西直门北大街,345,VI,细颗粒物,重度污染,2013-1,11
108,南三环西路,436,VI,细颗粒物,重度污染,2013-1,11
109,京东北密云水库,261,V,细颗粒物,重度污染,2013-1,11
110,东城东四,499,VI,细颗粒物,重度污染,2013-1,12
111,西城万寿西宫,500,VI,可吸入颗粒物;细颗粒,重度污染,2013-1,12
112,朝阳奥体中心,457,VI,细颗粒物,重度污染,2013-1,12
113,海淀北京植物园,360,VI,细颗粒物,重度污染,2013-1,12
114,丰台花园,500,VI,可吸入颗粒物;细颗粒,重度污染,2013-1,12
115,通州新城,500,VI,可吸入颗粒物;细颗粒,重度污染,2013-1,12
116,怀柔镇,288,V,细颗粒物,重度污染,2013-1,12
117,西直门北大街,471,VI,可吸入颗粒物,重度污染,2013-1,12
118,南三环西路,500,VI,可吸入颗粒物;细颗粒,重度污染,2013-1,12
119,京东北密云水库,210,V,细颗粒物,重度污染,2013-1,12
120,东城东四,400,VI,细颗粒物,重度污染,2013-1,13
121,西城万寿西宫,382,VI,细颗粒物,重度污染,2013-1,13
122,朝阳奥体中心,428,VI,细颗粒物,重度污染,2013-1,13
123,海淀北京植物园,391,VI,细颗粒物,重度污染,2013-1,13
124,丰台花园,393,VI,细颗粒物,重度污染,2013-1,13
125,通州新城,500,VI,可吸入颗粒物;细颗粒,重度污染,2013-1,13
126,怀柔镇,433,VI,细颗粒物,重度污染,2013-1,13
127,西直门北大街,332,VI,可吸入颗粒物,重度污染,2013-1,13
128,南三环西路,409,VI,细颗粒物,重度污染,2013-1,13
129,京东北密云水库,258,V,细颗粒物,重度污染,2013-1,13
130,东城东四,296,V,细颗粒物,重度污染,2013-1,14
131,西城万寿西宫,295,V,细颗粒物,重度污染,2013-1,14
132,朝阳奥体中心,331,VI,细颗粒物,重度污染,2013-1,14
133,海淀北京植物园,280,V,细颗粒物,重度污染,2013-1,14
134,丰台花园,310,VI,细颗粒物,重度污染,2013-1,14
135,通州新城,316,VI,细颗粒物,重度污染,2013-1,14
136,怀柔镇,270,V,细颗粒物,重度污染,2013-1,14
137,西直门北大街,-,-,-,-,2013-1,14
138,南三环西路,347,VI,细颗粒物,重度污染,2013-1,14
139,京东北密云水库,198,IV,细颗粒物,中度污染,2013-1,14
140,东城东四,125,III,细颗粒物,轻度污染,2013-1,15
