species,money(w),itemNumber,customers,moneyperitem,moneypercust,itempercust
nz,10173.0839,40.6985,35.834,249.9621337,283.8947341,1.135750963
nz,7000.7705,47.3849,42.6693,147.7426459,164.0704324,1.110515054
nz,6485.9966,29.1808,26.7581,222.2693209,242.3937649,1.090540808
nz,5544.9073,26.5351,23.5676,208.9650048,235.2767062,1.125914391
nz,4766.3001,23.0458,20.1297,206.8186004,236.77949,1.144865547
nz,3721.8182,25.5068,21.8316,145.9147443,170.4784899,1.168343136
nz,3586.1333,17.4984,15.6971,204.9406403,228.4583331,1.114753681
nz,3483.4086,42.3989,34.5174,82.15799466,100.9174677,1.228334116
nz,3267.702,18.5189,15.482,176.4522731,211.0645911,1.196156827
nz,3106.3962,11.1726,9.9727,278.0370012,311.4899877,1.120318469
nx,3736.768,34.2083,29.8862,109.2357118,125.033226,1.144618587
nx,3140.76,39.4505,35.5203,79.61267918,88.42155049,1.110646588
nx,1900.4375,12.6632,11.7607,150.0756128,161.5922096,1.07673863
nx,1731.1586,10.0421,9.0836,172.3900977,190.5806729,1.105519838
nx,1603.8476,11.9039,11.2073,134.7329531,143.1074032,1.062155916
nx,1415.0994,12.9961,12.2545,108.8864659,115.4758986,1.060516545
nx,1321.481,3.9184,3.4802,337.2501531,379.7140969,1.125912304
nx,1246.3813,11.1917,10.2846,111.3665752,121.1890885,1.088199833
nx,1055.5083,3.9869,3.7412,264.744112,282.1309473,1.065674115
nx,1010.8774,9.2732,8.6284,109.0106328,117.1569932,1.074729962
nzz,9148.0375,87.2342,74.204,104.8675577,123.2822691,1.175599698
nzz,6814.7113,78.6847,67.3631,86.60783227,101.1638612,1.168068275
nzz,6034.8874,128.8068,106.8316,46.85224227,56.48972214,1.205699437
nzz,5710.1797,72.0534,61.5036,79.24927484,92.84301569,1.171531423
nzz,4186.634,25.395,22.3678,164.8605631,187.1723638,1.135337405
nzz,4117.3738,32.75,25.6876,125.7213374,160.2864339,1.27493421
nzz,3790.9774,29.1737,24.2525,129.9450327,156.3128502,1.202915163
nzz,3356.3078,26.78,22.2973,125.3288947,150.5253013,1.201042279
