GDPRank,district,GDP,Popularity,AverageGDP,AverageGDPUS,AverageGDPRank
3,西城区,2800,130.3,214888.72,34697.53,1
4,东城区,1565,90.9,172167.22,27799.4,2
6,顺义区,1232.2,98.3,125350.97,20240.1,3
2,海淀区,3831,357.6,107130.87,17298.15,4
1,朝阳区,3920,384.1,102056.76,16478.84,5
5,大兴区,1345.1,150.7,89256.8,14412.07,6
11,石景山区,365,64.4,56677.02,9151.49,7
12,怀柔区,200.4,38.2,52460.73,8470.7,8
10,房山区,490,101,48514.85,7833.57,9
7,丰台区,1007.8,226.1,44573.2,7197.12,10
13,密云县,196.3,47.6,41239.5,6658.83,11
15,门头沟区,124.2,30.3,40990.1,6618.57,12
14,平谷区,168.5,42.2,39928.91,6447.22,13
9,通州区,502,132.6,37858.22,6112.87,14
8,昌平区,550,188.9,29115.93,4701.27,15
16,延庆县,91.9,31.6,29082.28,4695.84,16
