date	open_price	highest_price	lowest_price	close_price	gains	num
2014-06-30	8.32	8.35	8.22	8.27	-0.00601	0.39373646
2014-06-27	8.27	8.38	8.23	8.32	0.007264	0.55083158
2014-06-26	8.12	8.33	8.09	8.26	0.01599	0.59903477
2014-06-25	8.13	8.14	7.96	8.13	0.004944	0.53653821
2014-06-24	8.19	8.19	8.05	8.09	-0.007362	0.32425074
2014-06-23	8.13	8.18	8.08	8.15	0.00246	0.24932778
2014-06-20	8.04	8.13	7.99	8.13	0.017522	0.42668277
2014-06-19	8.13	8.15	7.97	7.99	-0.01358	0.40521829
2014-06-18	8.12	8.17	8.07	8.1	-0.002463	0.34636546
2014-06-17	8.25	8.25	8.04	8.12	-0.016949	0.6859864
2014-06-16	8.41	8.42	8.18	8.26	-0.020166	0.86351325
2014-06-13	8.38	8.48	8.28	8.43	0.002378	0.63554128
2014-06-12	8.39	8.46	8.2	8.41	0.00119	0.80101101
2014-06-11	8.38	8.52	8.32	8.4	0.001192	0.57966817
2014-06-10	8.25	8.49	8.25	8.39	0.010843	0.6950952
2014-06-09	8.17	8.56	8.12	8.3	0.006061	0.82674296
2014-06-06	8.31	8.33	8.09	8.25	-0.00722	0.49519123
2014-06-05	8.18	8.35	8.15	8.31	0.013415	0.47658634
2014-06-04	8.36	8.4	8.12	8.2	-0.02381	0.77377164
2014-06-03	8.51	8.63	8.32	8.4	-0.017544	1.1845251
2014-05-30	8.58	8.66	8.48	8.55	0.001171	1.06158847
2014-05-29	8.6	8.75	8.44	8.54	0.010651	1.66699697
2014-05-28	8.18	8.46	8.17	8.45	0.034272	1.55707433
2014-05-27	8.11	8.25	8.06	8.17	0.007398	0.80099743
2014-05-26	8.2	8.29	8.07	8.11	-0.004908	0.60755644
2014-05-23	7.92	8.2	7.85	8.15	0.032953	1.33827747
2014-05-22	7.75	7.94	7.73	7.89	0.01938	0.92142006
2014-05-21	7.68	7.77	7.58	7.74	0.0	0.54343526
2014-05-20	7.7	7.78	7.64	7.74	0.006502	0.68587514
2014-05-19	7.66	7.78	7.52	7.69	-0.001299	0.59464663
2014-05-16	7.58	7.8	7.58	7.7	0.015831	0.96234169
2014-05-15	7.62	7.64	7.53	7.58	-0.006553	0.4586987
2014-05-14	7.65	7.83	7.61	7.63	0.01328	0.93198701
2014-05-13	7.39	7.59	7.37	7.53	0.028689	0.89727866
2014-05-12	7.28	7.43	7.19	7.32	0.008264	0.51722748
2014-05-09	7.35	7.37	7.1	7.26	-0.012245	0.62968012
2014-05-08	7.48	7.58	7.32	7.35	-0.013978	0.7519049
2014-05-07	7.79	7.89	7.75	7.87	0.01027	0.52723015
2014-05-06	7.74	7.9	7.74	7.79	0.00646	0.46379716
2014-05-05	7.85	7.86	7.67	7.74	-0.020253	0.57717483
2014-04-30	7.87	7.98	7.77	7.9	-0.005038	0.39547643
2014-04-29	7.91	7.98	7.67	7.94	-0.003764	0.67109783
2014-04-28	7.98	8.16	7.92	7.97	0.003778	0.96845118
2014-04-25	8.07	8.11	7.9	7.94	-0.006258	0.69763109
2014-04-24	7.83	8.1	7.77	7.99	0.024359	1.39640297
2014-04-23	7.72	7.83	7.7	7.8	0.007752	0.48885958
2014-04-22	7.65	7.77	7.62	7.74	0.010444	0.64815843
2014-04-21	7.71	7.8	7.65	7.66	-0.015424	0.4544839
2014-04-18	7.7	7.8	7.62	7.78	0.003871	0.41008279
2014-04-17	7.88	7.89	7.73	7.75	-0.015248	0.45759242
2014-04-16	7.74	7.92	7.71	7.87	0.014175	0.70965625
2014-04-15	7.86	7.91	7.7	7.76	-0.021438	0.75881356
2014-04-14	7.95	8.01	7.83	7.93	-0.002516	0.53024683
2014-04-11	8.0	8.01	7.89	7.95	-0.012422	0.77595171
2014-04-10	8.04	8.08	7.82	8.05	0.0	1.60169456
2014-04-09	8.16	8.19	8.02	8.05	-0.01227	0.92985418
2014-04-08	8.05	8.23	7.94	8.15	0.004932	0.96118504
2014-04-04	8.1	8.15	8.01	8.11	0.001235	0.64285871
2014-04-03	8.3	8.39	8.07	8.1	-0.022919	0.98636692
2014-04-02	8.14	8.4	8.11	8.29	0.02599	1.28655948
2014-04-01	8.08	8.18	8.05	8.08	-0.001236	0.52524942
2014-03-31	8.16	8.22	7.96	8.09	-0.003695	0.67897119
2014-03-28	7.93	8.24	7.92	8.12	0.017544	1.10530999
2014-03-27	7.8	8.1	7.73	7.98	0.016561	1.07800631
2014-03-26	7.99	8.04	7.79	7.85	-0.016291	0.70405842
2014-03-25	8.04	8.2	7.9	7.98	-0.009926	0.95754115
2014-03-24	8.01	8.17	7.85	8.06	0.006242	1.39877099
2014-03-21	7.57	8.08	7.45	8.01	0.066578	2.70439501
2014-03-20	7.5	7.73	7.4	7.51	0.001333	1.15455187
2014-03-19	7.51	7.54	7.24	7.5	-0.013158	1.57546281
2014-03-18	7.76	7.76	7.55	7.6	-0.020619	0.84389956
2014-03-17	7.6	7.8	7.59	7.76	0.030544	1.177079
2014-03-14	7.68	7.81	7.5	7.53	-0.023346	1.30310997
2014-03-13	7.58	7.85	7.53	7.71	0.014474	1.49235872
2014-03-12	7.48	7.85	7.42	7.6	0.013333	2.08987285
2014-03-11	7.19	7.59	7.15	7.5	0.048951	1.89248809
2014-03-10	7.22	7.33	7.04	7.15	-0.016506	1.164026
2014-03-07	7.34	7.46	7.23	7.27	-0.006831	1.71953502
2014-03-06	6.76	7.43	6.69	7.32	0.08284	2.66097004
2014-03-05	6.92	6.92	6.75	6.76	-0.023121	0.59026244
2014-03-04	7.0	7.1	6.78	6.92	0.042169	2.12249601
2014-03-03	6.67	6.71	6.56	6.64	-0.011905	0.76074355
2014-02-28	6.61	6.74	6.58	6.72	0.019727	0.67940834
2014-02-27	6.71	6.72	6.55	6.59	-0.013473	0.790142
2014-02-26	6.57	6.71	6.52	6.68	0.016743	0.94190488
2014-02-25	6.7	6.74	6.55	6.57	-0.017937	1.29932467
2014-02-24	7.0	7.01	6.62	6.69	-0.065642	1.90424662
2014-02-21	7.31	7.35	7.1	7.16	-0.021858	1.05234543
2014-02-20	7.37	7.48	7.3	7.32	-0.006784	0.90021801
2014-02-19	7.27	7.4	7.23	7.37	0.013755	0.91851794
2014-02-18	7.36	7.36	7.26	7.27	-0.013569	0.78169462
2014-02-17	7.4	7.42	7.3	7.37	0.0	0.85133904
2014-02-14	7.41	7.45	7.3	7.37	-0.005398	0.95328746
2014-02-13	7.52	7.52	7.38	7.41	-0.014628	0.84305117
2014-02-12	7.53	7.61	7.49	7.52	-0.003974	0.83775437
2014-02-11	7.5	7.62	7.43	7.55	0.005326	1.08444665
2014-02-10	7.45	7.55	7.42	7.51	0.013495	1.0623799
