name,qishu,num1,num2,num3,num4,num5
c00	,	0	,	0	,	0	,	0	,	0	,	0
c01	,	45	,	35	,	35	,	35	,	35	,	35
c1	,	01	,	02	,	03	,	20	,	23	,	28
c2	,	02	,	10	,	16	,	18	,	29	,	32
c3	,	03	,	02	,	18	,	27	,	30	,	32
c4	,	04	,	03	,	08	,	30	,	32	,	34
c5	,	05	,	13	,	14	,	24	,	25	,	34
c6	,	06	,	06	,	22	,	30	,	31	,	34
c7	,	07	,	03	,	07	,	21	,	23	,	31
c8	,	08	,	03	,	15	,	20	,	21	,	23
c9	,	09	,	16	,	18	,	22	,	25	,	35
c10	,	10	,	15	,	21	,	22	,	23	,	33
c11	,	11	,	02	,	04	,	08	,	12	,	35
c12	,	12	,	09	,	10	,	12	,	17	,	28
c13	,	13	,	01	,	07	,	14	,	19	,	20
c14	,	14	,	14	,	20	,	23	,	25	,	26
c15	,	15	,	07	,	13	,	14	,	28	,	32
c16	,	16	,	04	,	10	,	26	,	29	,	32
c17	,	17	,	05	,	09	,	11	,	20	,	22
c18	,	18	,	05	,	13	,	14	,	21	,	34
c19	,	19	,	01	,	02	,	13	,	23	,	35
c20	,	20	,	15	,	18	,	20	,	21	,	23
c21	,	21	,	09	,	18	,	19	,	22	,	24
c22	,	22	,	11	,	16	,	18	,	20	,	29
c23	,	23	,	03	,	05	,	14	,	18	,	32
c24	,	24	,	02	,	13	,	17	,	19	,	23
c25	,	25	,	03	,	16	,	24	,	30	,	33
c26	,	26	,	01	,	05	,	26	,	29	,	30
c27	,	27	,	06	,	13	,	15	,	24	,	27
c28	,	28	,	03	,	14	,	17	,	18	,	33
c29	,	29	,	02	,	03	,	23	,	24	,	26
c30	,	30	,	04	,	08	,	09	,	13	,	18
c31	,	31	,	01	,	04	,	06	,	18	,	33
c32	,	32	,	13	,	16	,	18	,	22	,	32
c33	,	33	,	03	,	10	,	25	,	26	,	35
c34	,	34	,	01	,	09	,	12	,	22	,	25
c35	,	35	,	01	,	03	,	28	,	29	,	35
c36	,	36	,	12	,	15	,	19	,	23	,	31
c37	,	37	,	02	,	09	,	22	,	30	,	34
c38	,	38	,	02	,	04	,	06	,	15	,	19
c39	,	39	,	02	,	04	,	16	,	22	,	34
c40	,	40	,	07	,	22	,	28	,	30	,	32
c41	,	01	,	02	,	03	,	20	,	23	,	28
c42	,	02	,	10	,	16	,	18	,	29	,	32
c43	,	03	,	02	,	18	,	27	,	30	,	32
c44	,	04	,	03	,	08	,	30	,	32	,	34
c45	,	05	,	13	,	14	,	24	,	25	,	34
c46	,	06	,	06	,	22	,	30	,	31	,	34
c47	,	07	,	03	,	07	,	21	,	23	,	31
c48	,	08	,	03	,	15	,	20	,	21	,	23
c49	,	09	,	16	,	18	,	22	,	25	,	35
